Historical EH Bug Found in Linux Kernel 4.14,,,,,
Number,Position,Function,Line Number,,
1,arch/arm/mach-hisi/hotplug.c,hi3xxx_hotplug_init,152,,
2,arch/arm/mach-hisi/hotplug.c,hix5hd2_hotplug_init,177,,
3,arch/arm/mach-hisi/hotplug.c,hip01_set_cpu,223,,
4,arch/arm/mach-imx/cpu.c,imx_aips_allow_unprivileged_access,70,,
5,arch/mips/ath25/board.c,ath25_find_config,137,,
6,arch/mips/lantiq/falcon/sysctrl.c,clkdev_add_sys,170,,
7,arch/mips/lantiq/xway/gptu.c,clkdev_add_gptu,125,,
8,arch/mips/sgi-ip22/ip22-gio.c,ip22_check_gio,365,,
9,arch/x86/kernel/pmem.c,register_e820_pmem,29,,
10,arch/sh/kernel/cpu/sh4a/smp-shx3.c,shx3_prepare_cpus,79,,
11,arch/xtensa/platforms/iss/console.c,rs_init,187,,
12,arch/powerpc/kernel/eeh_cache.c,eeh_addr_cache_insert,157,,
13,drivers/clk/ti/clk-814x.c,dm814x_adpll_early_init,47,,
14,drivers/gpio/gpio-tb10x.c,tb10x_gpio_probe,194,,
15,drivers/clocksource/clps711x-timer.c,clps711x_timer_init,109,,
16,drivers/clk/at91/pmc.c,pmc_register_ops,160,,
17,drivers/gpu/drm/ttm/ttm_tt.c,ttm_tt_alloc_page_directory,55,,
18,drivers/gpu/drm/ttm/ttm_tt.c,ttm_dma_tt_alloc_page_directory,61,,
19,drivers/gpu/drm/msm/mdp/mdp4/mdp4_lvds_connector.c,mdp4_lvds_connector_detect,39,,
20,drivers/gpu/drm/msm/mdp/mdp5/mdp5_mixer.c,mdp5_mixer_release,132,,
21,drivers/gpu/drm/msm/mdp/mdp5/mdp5_pipe.c,mdp5_pipe_release,98,,
22,drivers/gpu/drm/drm_dp_aux_dev.c,drm_dp_aux_dev_get_by_minor,62,,
23,drivers/mtd/devices/mchp23k256.c,mchp23k256_write,87,,
24,drivers/mtd/devices/mchp23k256.c,mchp23k256_read,120,,
25,drivers/i2c/muxes/i2c-mux-gpio.c,i2c_mux_gpio_probe,230,,
26,drivers/media/platform/video-mux.c,video_mux_probe,243,,
27,drivers/iio/multiplexer/iio-mux.c,mux_configure_channel,310,,
28,sound/soc/samsung/idma.c,preallocate_idma_buffer,371,,
29,sound/soc/codecs/rt5514-spi.c,rt5514_spi_pcm_probe,266,,
30,drivers/net/phy/mdio-bcm-unimac.c,unimac_mdio_probe,207,,
31,drivers/nfc/st21nfca/se.c,st21nfca_connectivity_event_received,327,,
32,drivers/regulator/tps65217-regulator.c,tps65217_regulator_probe,237,,
33,drivers/scsi/ufs/ufshcd-pltfrm.c,ufshcd_parse_clock_info,118,,
34,drivers/scsi/ufs/ufshcd-pltfrm.c,ufshcd_populate_vreg,152,,
35,drivers/pinctrl/berlin/berlin.c,berlin_pinctrl_build_state,239,,
36,drivers/nvdimm/btt_devs.c,__nd_btt_create,200,,
37,drivers/rtc/rtc-bq4802.c,bq4802_probe,165,,
38,drivers/nfc/fdp/i2c.c,fdp_nci_i2c_read_device_properties,262,,
39,drivers/usb/dwc3/dwc3-exynos.c,dwc3_exynos_resume,266,,
40,drivers/extcon/extcon-axp288.c,axp288_extcon_probe,303,,
,,,,,
,,,,,
,,,,,
